,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Mileage,Engine(in-CC),Power(in-bhp),Colour,Seats,Price,company_name
0,Mahindra Scorpio,Pune,2012,99000.0,Diesel,Manual,12.05,2179,120.0,Black/Silver,8.0,6.0,Mahindra
1,Maruti Baleno,Kochi,2018,18678.0,Petrol,Manual,21.1,998,100.0,Others,5.0,8.32,Maruti
2,Mahindra Xylo,Bangalore,2013,197000.0,Diesel,Manual,11.68,2498,112.0,White,7.0,4.0,Mahindra
3,Hyundai Grand,Delhi,2014,45000.0,Diesel,Manual,24.0,1120,70.0,White,5.0,3.49,Hyundai
4,Toyota Innova,Delhi,2011,65000.0,Diesel,Manual,12.8,2494,102.0,Others,8.0,6.4,Toyota
5,Honda WRV,Kochi,2018,15135.0,Petrol,Manual,17.5,1199,88.7,White,5.0,9.29,Honda
6,Hyundai Verna,Bangalore,2016,79000.0,Diesel,Manual,24.8,1396,88.7,White,5.0,7.25,Hyundai
7,Toyota Fortuner,Pune,2015,36000.0,Diesel,Automatic,12.55,2982,168.5,White,7.0,22.0,Toyota
8,Toyota Innova,Hyderabad,2009,156056.0,Diesel,Manual,12.8,2494,102.0,Others,8.0,8.5,Toyota
9,Chevrolet Beat,Hyderabad,2012,61250.0,Diesel,Manual,25.44,936,57.6,Others,5.0,2.7,Chevrolet
10,Toyota Innova,Hyderabad,2007,199000.0,Diesel,Manual,12.8,2494,102.0,Others,7.0,5.2,Toyota
11,Audi A6,Ahmedabad,2008,41000.0,Petrol,Automatic,10.4,2773,201.0,White,5.0,10.5,Audi
12,Hyundai i20,Delhi,2017,17431.0,Petrol,Manual,18.6,1197,81.83,Black/Silver,5.0,6.0,Hyundai
13,Skoda Laura,Mumbai,2009,48000.0,Diesel,Automatic,17.0,1896,105.0,White,5.0,2.95,Skoda
14,Honda City,Mumbai,2015,10400.0,Petrol,Manual,17.4,1497,117.3,Black/Silver,5.0,6.51,Honda
15,Maruti Baleno,Delhi,2017,33000.0,Diesel,Manual,27.39,1248,74.0,Black/Silver,5.0,6.96,Maruti
16,Audi Q7,Pune,2009,94000.0,Diesel,Automatic,12.07,2967,241.4,White,7.0,12.0,Audi
17,Renault Duster,Bangalore,2014,70000.0,Diesel,Manual,19.01,1461,108.45,Black/Silver,5.0,8.25,Renault
18,Maruti Ertiga,Chennai,2012,40000.0,Diesel,Manual,20.77,1248,88.8,Others,7.0,7.0,Maruti
19,Land Rover Freelander,Hyderabad,2012,139000.0,Diesel,Automatic,0.0,2179,115.0,Black/Silver,5.0,16.75,Land
20,Skoda Rapid,Mumbai,2014,35000.0,Petrol,Manual,15.0,1598,103.52,Black/Silver,5.0,4.5,Skoda
21,Maruti Zen,Pune,2007,42000.0,Petrol,Manual,18.2,998,67.1,Others,5.0,1.3,Maruti
22,BMW 3,Mumbai,2014,48000.0,Diesel,Automatic,21.76,1995,190.0,Others,5.0,26.5,BMW
23,Hyundai i20,Bangalore,2015,59000.0,Petrol,Manual,18.5,1197,80.0,Black/Silver,5.0,5.75,Hyundai
24,Maruti Wagon,Chennai,2013,79000.0,Petrol,Manual,18.9,998,67.1,White,5.0,3.0,Maruti
25,Honda Jazz,Kolkata,2010,45000.0,Petrol,Manual,16.0,1198,90.0,White,5.0,2.0,Honda
26,Maruti Wagon,Ahmedabad,2008,60123.0,Petrol,Manual,18.9,998,67.1,Others,5.0,1.95,Maruti
27,Maruti Vitara,Coimbatore,2018,64456.0,Diesel,Manual,24.3,1248,88.5,White,5.0,10.46,Maruti
28,ISUZU D-MAX,Jaipur,2017,25000.0,Diesel,Manual,12.4,2499,134.0,Others,5.0,8.0,ISUZU
29,Maruti SX4,Delhi,2011,75000.0,Diesel,Manual,21.5,1248,88.8,Black/Silver,5.0,2.5,Maruti
30,Hyundai i10,Coimbatore,2014,31446.0,Petrol,Manual,20.36,1197,78.9,Others,5.0,4.66,Hyundai
